Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
427.808,20.20000076,28.39999962,10
427.883,11.39999962,70.40000153,11.39999962
427.958,-1.600000024,-6.800000191,9.600000381
428.033,-10,31,-12.39999962
428.108,2.599999905,-7.800000191,16.39999962
428.182,24.79999924,17.20000076,-4.800000191
428.257,8,-3,-9
428.332,24.39999962,21,-18.20000076
428.407,-6,22,15.19999981
428.482,-7.199999809,18,-11
428.556,18.39999962,-12,-3.200000048
428.631,36.40000153,5.199999809,24.60000038
428.706,0,11.80000019,5.199999809
428.781,3,-27.79999924,-28.79999924
428.855,-18.79999924,-5.800000191,-27.20000076
428.930,-1.200000048,7.199999809,-17.20000076
429.005,-15.80000019,16.20000076,-4.599999905
429.079,-2.200000048,15.39999962,-9.600000381
429.154,-3.599999905,3.200000048,-2.599999905
429.229,2.400000095,15.60000038,12.19999981
429.304,5.800000191,9.199999809,-5.400000095
429.378,-18.79999924,18.60000038,9.800000191
429.453,-3.200000048,2.799999952,-15.60000038
429.528,18.60000038,12,19
429.602,-8.399999619,2,-11.39999962
429.677,-3.599999905,3,16.60000038
429.752,3.799999952,3.799999952,-25.79999924
